"variable","term","sumsq","df","statistic","p.value","symbol"
"sugar","X1gen_treatment",2.01,1,1.79,0.191,"ns"
"sugar","X1gen_organ_origin",2.4,1,2.13,0.154,"ns"
"sugar","X3gen_treatment:X1gen_treatment",0.02,1,0.01,0.908,"ns"
"sugar","X3gen_treatment:X1gen_organ_origin",0.4,1,0.35,0.556,"ns"
"sugar","X1gen_treatment:X1gen_organ_origin",0.04,1,0.04,0.85,"ns"
"sugar","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",0.15,1,0.13,0.722,"ns"
"starch","X3gen_treatment",35.74,1,16.29,0,"***"
"starch","X1gen_treatment",0.32,1,0.15,0.706,"ns"
"starch","X1gen_organ_origin",0.34,1,0.15,0.698,"ns"
"starch","X3gen_treatment:X1gen_treatment",3.4,1,1.55,0.222,"ns"
"starch","X3gen_treatment:X1gen_organ_origin",2.7,1,1.23,0.276,"ns"
"starch","X1gen_treatment:X1gen_organ_origin",0,1,0,0.985,"ns"
"starch","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",1.81,1,0.82,0.371,"ns"
"carbohydrate","X3gen_treatment",39.91,1,15.26,0,"***"
"carbohydrate","X1gen_treatment",1.23,1,0.47,0.498,"ns"
"carbohydrate","X1gen_organ_origin",1.48,1,0.57,0.457,"ns"
"carbohydrate","X3gen_treatment:X1gen_treatment",3.86,1,1.48,0.233,"ns"
"carbohydrate","X3gen_treatment:X1gen_organ_origin",2.22,1,0.85,0.363,"ns"
"carbohydrate","X1gen_treatment:X1gen_organ_origin",0.06,1,0.02,0.884,"ns"
"carbohydrate","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",1.04,1,0.4,0.533,"ns"
